Anbieter,Anlagen Name,Technologie,Technologie einfach,Anlagenkennzeichnung BNetzA,Inbetriebnahme,Land,Standort,Bundesland,Eigentümer (Struktur),Betreiber,"Instalierte Leistung (Kw) (Höchstleistung)",Bezogene Strommenge,Einheit,Anlage EEG gefördert?
Mann-Naturenergie,Töging am Inn,Laufwasserkraftwerk,Wasser,,1924.0,Deutschland,Töging am Inn,,VERBUND Innkraftwerke GmbH,VERBUND Innkraftwerke GmbH,85000.0,,,
Mann-Naturenergie,Ybbs-Persenbeug,Laufwasserkraftwerk,Wasser,,1975.0,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,236500.0,,,
Mann-Naturenergie,Freudenau,Laufwasserkraftwerk,Wasser,,1998.0,Deutschland,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,57333.0,,,
