Anbieter,Anlagen Name,Technologie,Technologie einfach,Anlagenkennzeichnung,Inbetriebnahme,Land,Standort,Bundesland,Eigentümer (Struktur),Betreiber,Instalierte Leistung (Kw) (Höchstleistung),Liefermenge 2018 in MWh,Einheit,Anlage EEG gefördert?
EWS Schönau,WEA Sternwald 1,Onshore-Windkraftwerk,Wind,,2003,,,,,WEA Sternwald 1,undefined,1440,,
EWS Schönau,WEB Windenergie AG,Onshore-Windkraftwerk,Wind,,1996,,,,,KW Windkraft Reittern,undefined,489,,
EWS Schönau,Windkraftanlage ,Onshore-Windkraftwerk,Wind,,2003,,,,,Zukunfts-Energie Gesellschaft mbH;,undefined,1146,,
EWS Schönau,Windpark Langmannersdorf,Onshore-Windkraftwerk,Wind,,2004,,,,,WEB Windenergie AG;,undefined,5622,,
EWS Schönau,Windpark Sternwald II,Onshore-Windkraftwerk,Wind,,2005,,,,,Windpark Sternwald II,undefined,1304,,
EWS Schönau,WP Markgrafneusiedl ,Onshore-Windkraftwerk,Wind,,2003,,,,,WP Markgrafneusiedl ,undefined,1148,,
EWS Schönau,APV  ,Photovoltaik,Solar,,2017,,,,,APV  ,undefined,115,,
EWS Schönau,Hissmofors stn 6,Speicher-Wasserkraftwerk,Wasser,_643002406616003140,2013,,Nähe Östersund; Schweden,,Jämtkraft AB (Anteil 100%) im Besitz von drei regionalen Gemeinden Jämtkraft AB: Jämtkraft AB; Box 394; 831 25 Östersund; Schweden,Jämtkraft AB,66000,147510,,
EWS Schönau,Bagn  ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010008630,2012,,Sør-Aurdal kommune,,Oppland Energi AS: E-Co Energi AS / Eidsiva Vannkraft AS; Skagerak Kraft AS > Skagerak Energi AS > Statkraft Industrial Holding AS > Statkraft Industrial Holding AS; Skien Kommune ; Porsgrunn Kommune; Bamble Kommune,Oppland Energi AS; Skagerak Kraft AS,75500.0,4924,,
EWS Schönau,Brokke,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010007503,1964,,Valle kommune; Aust-Agder,,Otra Kraft / Hauptaktionär = Agder Energi Vannkraft AS,Otra Kraft (Agder Energi Vannkraft AS 68;6%; Skagerak Energi 31;4%),330000.0,15302,,
EWS Schönau,Evanger Kraftverk ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010006902,2015,,Voss kommune; Hordaland,,Statkraft Industrial Holding AS 49;90 %; Bergen kommune 37;75 %; Askøy kommune 2;48 %; Lindås kommune 1;95 %; Fjell; kommune 1;89 %; Sund kommune 1;02 %; Kvam herad 0;90 %; Meland kommune 0;76 %; Radøy kommune 0;74 %; Voss kommune 0;62 %; Øygarden kommune 0;52 %; Austrheim kommune 0;43 %; Vaksdal kommune 0;37 %; Gulen kommune 0;27 %; Høyanger kommune 0;12 %; Fedje kommune 0;12 %; Masfjorden kommune 0;10 %; Granvin herad 0;05 %,BKK Produksjon AS,330000.0,6126,,
EWS Schönau,Fjellet  ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010018202,2015,,Økteren; Fjellvannet (Skien),,Hauptaktionär: Arendals Fossekompani ASA; die wiederum: Ulfoss Invest AS; die wiederum: Vicama AS,Markedskraft AS,4300.0,10807,,
EWS Schönau,Folkedal  ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010006032,2013,, Granvin Kommune; Hordaland ,, Single purpose company owned by local farmers/landowners operating one small scale hydro power plant ,Hardanger Energi AS (registrant: Nordic Green Power),4990.0,11553,,
EWS Schönau,Forsanvatn kraftverk ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010017403,2013,, Forsanvatnet ,, SKS Gruppe; die wiederum: Salten Kraftsamband AS; die wiederum: Bodø Kommune ,SKS Handel AS,8800.0,15270,,
EWS Schönau,Forsanvatn minikraftverk ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010017410,2013,, Forsanvatnet ,, SKS Gruppe; die wiederum: Salten Kraftsamband AS; die wiederum: Bodø Kommune ,SKS Handel AS,720.0,4380,,
EWS Schönau,Grytneselva  ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010019346,2016,,Nesset kommune; Møre og Romsdal,,Clemens Kraft AS; Fridtjof Nansens plass 6; 0160 Oslo /// Mehrheitsaktionär (50;1%) ist der Bildungsfonds (OVF); die seit 1821 große Wald und Bodeneigenschaften hat es geschaffen. Heute unterliegt der Fonds des Bildungsfonds dem Kulturministerium; und das Geschäft ist in Abschnitt 116 der Verfassung geregelt. Die restlichen 49;9% gehören der CPV / CAP Pensionskasse Coop (CPV). Die CPV wurde 1909 gegründet und ist die Pensionskasse der Schweizer Coop-Gruppe.,Ecohz,5900.0,3449,,
